,fxe,ewj,gld,qqq,spy,shv,dba,uso,xbi,ilf,gaf,epp,fez,Med_c.fxe,Med_c.ewj,Med_c.gld,Med_c.qqq,Med_c.spy,Med_c.shv,Med_c.dba,Med_c.uso,Med_c.xbi,Med_c.ilf,Med_c.gaf,Med_c.epp,Med_c.fez,Aft_c.fxe,Aft_c.ewj,Aft_c.gld,Aft_c.qqq,Aft_c.spy,Aft_c.shv,Aft_c.dba,Aft_c.uso,Aft_c.xbi,Aft_c.ilf,Aft_c.gaf,Aft_c.epp,Aft_c.fez
Cumulative_Return,0.9658,1.2762,0.9022,1.4392,1.2171,0.9922,1.0225,1.0941,1.4109,1.4060,1.2049,1.2394,1.1906,0.8847,1.4961,0.8127,1.7273,1.8950,0.9955,0.8964,0.6587,1.9331,1.8931,1.9150,1.8535,1.6259,1.1846,1.8361,0.9944,2.1150,2.1257,0.9967,1.3634,1.6011,1.6312,3.0465,2.3059,2.7450,2.5259
Mean_Geometric_Return,-0.0006,0.0040,-0.0017,0.0060,0.0032,-0.0001,0.0004,0.0015,0.0057,0.0056,0.0031,0.0035,0.0029,-0.0020,0.0066,-0.0034,0.0090,0.0105,-0.0001,-0.0018,-0.0068,0.0109,0.0105,0.0107,0.0102,0.0080,0.0028,0.0100,-0.0001,0.0124,0.0124,-0.0001,0.0051,0.0077,0.0081,0.0184,0.0138,0.0167,0.0153
Min_Return,-0.0143,-0.0219,-0.0401,-0.0123,-0.0123,-0.0020,-0.0527,-0.0366,-0.0209,-0.0348,-0.0275,-0.0242,-0.0156,-0.0249,-0.0447,-0.0772,-0.0233,-0.0246,-0.0020,-0.0579,-0.0648,-0.0513,-0.0411,-0.0689,-0.0521,-0.0427,-0.0151,-0.0218,-0.0274,-0.0080,-0.0079,-0.0010,-0.0227,-0.0857,-0.0261,-0.0216,-0.0188,-0.0206,-0.0326
10_days_MaxDrawdown,0.0370,0.0391,0.0909,0.0210,0.0218,0.0038,0.0993,0.0991,0.0227,0.0625,0.0395,0.0460,0.0316,0.0785,0.0743,0.1799,0.0283,0.0322,0.0024,0.1527,0.1914,0.0513,0.0809,0.0796,0.0763,0.0627,0.0209,0.0300,0.0760,0.0082,0.0079,0.0028,0.0469,0.1719,0.0499,0.0223,0.0376,0.0230,0.0326
Volatility,0.0065,0.0118,0.0163,0.0128,0.0100,0.0005,0.0176,0.0203,0.0141,0.0173,0.0121,0.0132,0.0099,0.0107,0.0198,0.0211,0.0168,0.0148,0.0005,0.0230,0.0341,0.0188,0.0336,0.0276,0.0241,0.0230,0.0087,0.0170,0.0146,0.0148,0.0152,0.0003,0.0152,0.0312,0.0161,0.0234,0.0179,0.0213,0.0212
Sharpe_Ratio,-0.0874,0.3425,-0.0966,0.4712,0.3249,-0.2975,0.0281,0.0815,0.4063,0.3318,0.2573,0.2711,0.2913,-0.1825,0.3441,-0.1512,0.5438,0.7189,-0.1806,-0.0669,-0.1837,0.5857,0.3284,0.4015,0.4325,0.3585,0.3224,0.5980,0.0007,0.8407,0.8260,-0.1647,0.3426,0.2632,0.5067,0.7998,0.7778,0.7955,0.7307
skewness,0.1376,0.3118,-0.3499,1.0528,1.5960,-2.1319,-0.2874,-0.0065,0.7937,0.1509,0.3496,0.4153,0.8932,0.9020,0.7087,-0.3077,0.7876,0.8495,-1.9155,-0.0493,0.8376,-0.0387,1.1876,0.4446,0.4662,1.5182,0.7320,1.1461,0.3539,1.0816,1.4163,-0.4915,0.2809,0.0629,0.6615,0.5844,0.2590,0.5977,0.6218
kurtosis,-0.3511,0.0145,-0.5748,0.7699,3.2709,4.4456,0.7108,-0.6656,0.3492,0.3890,0.6211,0.4983,1.2210,1.2697,1.1445,1.4907,0.2522,1.4011,5.4431,-0.2622,0.5608,1.5411,1.4604,3.3151,0.5147,3.5994,1.9943,2.3753,0.6224,1.1409,2.4963,0.3245,-0.9645,0.8620,1.0718,-0.4817,-0.3720,0.2782,0.7732
VaR,-0.0110,-0.0142,-0.0299,-0.0106,-0.0074,-0.0012,-0.0294,-0.0318,-0.0138,-0.0215,-0.0152,-0.0163,-0.0104,-0.0163,-0.0209,-0.0387,-0.0142,-0.0093,-0.0010,-0.0395,-0.0530,-0.0193,-0.0307,-0.0285,-0.0254,-0.0168,-0.0092,-0.0108,-0.0221,-0.0065,-0.0048,-0.0006,-0.0186,-0.0416,-0.0147,-0.0157,-0.0141,-0.0139,-0.0149
CVaR,-0.0131,-0.0179,-0.0353,-0.0160,-0.0189,-0.0015,-0.0403,-0.0378,-0.0179,-0.0287,-0.0195,-0.0206,-0.0133,-0.0195,-0.0263,-0.0550,-0.0190,-0.0134,-0.0016,-0.0483,-0.0632,-0.0316,-0.0483,-0.0380,-0.0329,-0.0369,-0.0113,-0.0173,-0.0273,-0.0129,-0.0170,-0.0008,-0.0218,-0.0577,-0.0192,-0.0212,-0.0193,-0.0197,-0.0209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
